participant_id,study_id,session_id,dialog_id,phase,language,subject,condition,submitted_at_utc,free_comment,user_engagement_enjoyment,user_self_disclosure,user_topical_alignment,user_elaboration_informativeness,user_initiative_active_contribution,user_politeness,user_frustration_dissatisfaction,overall_conversational_interaction_quality
4321,,,518,main,English,Vacation,Condition A (Willi),2026-07-09T10:06:03+00:00,,1,1,1,1,1,1,1,
334,,,1325,main,English,Watches,Condition B (WV-34),2026-07-09T10:06:10+00:00,,2,1,1,1,2,3,4,
ceci,,,1267,main,English,Vacation,Condition B (WV-34),2026-07-09T10:06:37+00:00,,3,3,2,2,4,4,3,
334,,,864,main,English,Vacation,Condition A (Willi),2026-07-09T10:07:04+00:00,,4,2,3,3,3,3,2,
4321,,,537,main,English,Breakfast,Condition A (Willi),2026-07-09T10:07:44+00:00,,3,3,4,1,1,1,2,
334,,,1102,main,English,Vacation,Condition B (WV-34),2026-07-09T10:07:51+00:00,,2,2,3,2,2,3,3,
ceci,,,751,main,English,Watches,Condition A (Willi),2026-07-09T10:08:56+00:00,,2,2,2,2,2,2,3,
334,,,532,main,English,Breakfast,Condition A (Willi),2026-07-09T10:09:17+00:00,,4,4,4,4,3,3,2,
ceci,,,913,main,English,Watches,Condition B (WV-34),2026-07-09T10:09:18+00:00,,2,1,1,2,2,2,3,
334,,,605,main,English,Breakfast,Condition A (Willi),2026-07-09T10:10:33+00:00,,3,3,4,2,2,2,4,
ceci,,,460,main,English,Vacation,Condition A (Willi),2026-07-09T10:10:37+00:00,,4,5,4,4,3,2,3,
4321,,,392,main,English,Vacation,Condition A (Willi),2026-07-09T10:10:58+00:00,,3,2,2,2,2,3,4,
334,,,1289,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:11:07+00:00,,3,2,3,2,3,2,4,
ceci,,,1107,main,English,Watches,Condition B (WV-34),2026-07-09T10:11:35+00:00,,2,4,4,2,2,4,4,
334,,,731,main,English,Vacation,Condition A (Willi),2026-07-09T10:11:51+00:00,,3,3,4,3,2,4,2,
334,,,519,main,English,Watches,Condition A (Willi),2026-07-09T10:12:44+00:00,,3,2,4,2,2,3,4,
ceci,,,864,main,English,Vacation,Condition A (Willi),2026-07-09T10:13:16+00:00,,3,2,1,2,2,2,3,
334,,,833,main,English,Breakfast,Condition A (Willi),2026-07-09T10:14:00+00:00,,4,4,5,3,3,3,2,
4321,,,1030,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:14:00+00:00,,4,2,3,2,2,3,2,
4321,,,1102,main,English,Vacation,Condition B (WV-34),2026-07-09T10:14:29+00:00,Nothing to rate,1,1,1,1,1,1,1,
334,,,518,main,English,Vacation,Condition A (Willi),2026-07-09T10:14:30+00:00,,1,1,2,1,1,3,4,
ceci,,,934,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:15:56+00:00,,4,4,4,3,5,3,3,
334,,,666,main,English,Watches,Condition A (Willi),2026-07-09T10:16:12+00:00,,4,3,4,3,4,4,2,
4321,,,819,main,English,Watches,Condition A (Willi),2026-07-09T10:16:22+00:00,,3,4,3,3,4,3,2,
ceci,,,1197,main,English,Vacation,Condition B (WV-34),2026-07-09T10:17:00+00:00,,3,2,4,2,4,3,3,
334,,,999,main,English,Vacation,Condition B (WV-34),2026-07-09T10:17:10+00:00,,3,4,3,2,4,3,3,
ceci,,,498,main,English,Watches,Condition A (Willi),2026-07-09T10:17:26+00:00,,2,1,4,2,2,3,3,
334,,,1000,main,English,Vacation,Condition B (WV-34),2026-07-09T10:17:49+00:00,,3,3,2,2,3,3,4,
ceci,,,537,main,English,Breakfast,Condition A (Willi),2026-07-09T10:18:46+00:00,,3,4,5,3,2,3,3,
334,,,1267,main,English,Vacation,Condition B (WV-34),2026-07-09T10:19:02+00:00,,4,3,2,4,4,3,2,
ceci,,,1124,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:19:09+00:00,,2,1,4,2,2,3,3,
4321,,,434,main,English,Breakfast,Condition A (Willi),2026-07-09T10:19:20+00:00,,4,4,3,3,2,3,2,
334,,,1382,main,English,Watches,Condition B (WV-34),2026-07-09T10:20:29+00:00,,4,2,1,2,4,3,3,
4321,,,1325,main,English,Watches,Condition B (WV-34),2026-07-09T10:20:37+00:00,,3,2,2,2,2,2,2,
ceci,,,1255,main,English,Watches,Condition B (WV-34),2026-07-09T10:20:40+00:00,,5,3,1,4,5,2,4,
ceci,,,935,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:21:14+00:00,,3,3,2,2,2,3,4,
334,,,537,main,English,Breakfast,Condition A (Willi),2026-07-09T10:21:32+00:00,,3,3,4,2,3,2,4,
ceci,,,1102,main,English,Vacation,Condition B (WV-34),2026-07-09T10:22:10+00:00,,2,1,3,2,2,3,3,
334,,,434,main,English,Breakfast,Condition A (Willi),2026-07-09T10:22:53+00:00,,4,4,5,4,4,4,2,
ceci,,,392,main,English,Vacation,Condition A (Willi),2026-07-09T10:23:07+00:00,,4,4,2,4,4,5,4,
ceci,,,819,main,English,Watches,Condition A (Willi),2026-07-09T10:24:25+00:00,,3,1,1,4,2,3,3,
4321,,,731,main,English,Vacation,Condition A (Willi),2026-07-09T10:24:34+00:00,,2,2,2,2,2,2,3,
ceci,,,1000,main,English,Vacation,Condition B (WV-34),2026-07-09T10:25:33+00:00,,3,3,2,2,2,3,3,
4321,,,605,main,English,Breakfast,Condition A (Willi),2026-07-09T10:25:49+00:00,,2,4,3,2,2,3,4,
ceci,,,518,main,English,Vacation,Condition A (Willi),2026-07-09T10:25:52+00:00,,1,1,3,1,1,3,3,
ceci,,,1325,main,English,Watches,Condition B (WV-34),2026-07-09T10:26:26+00:00,,2,1,1,2,2,4,3,
4321,,,864,main,English,Vacation,Condition A (Willi),2026-07-09T10:27:54+00:00,,2,2,1,1,3,2,4,
4321,,,1107,main,English,Watches,Condition B (WV-34),2026-07-09T10:29:16+00:00,,2,3,2,2,2,2,3,
4321,,,751,main,English,Watches,Condition A (Willi),2026-07-09T10:30:30+00:00,,1,1,1,1,1,1,5,
4321,,,498,main,English,Watches,Condition A (Willi),2026-07-09T10:31:12+00:00,,2,2,2,2,2,2,2,
4321,,,1197,main,English,Vacation,Condition B (WV-34),2026-07-09T10:32:15+00:00,,3,2,3,2,3,2,2,
4321,,,532,main,English,Breakfast,Condition A (Willi),2026-07-09T10:33:16+00:00,,3,3,4,3,2,3,2,
4321,,,913,main,English,Watches,Condition B (WV-34),2026-07-09T10:33:52+00:00,"Just one two words, nothing to rate",2,3,2,2,2,2,2,
4321,,,1267,main,English,Vacation,Condition B (WV-34),2026-07-09T10:35:27+00:00,,4,4,2,2,3,2,3,
4321,,,1289,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:36:31+00:00,,2,1,2,1,3,2,4,
4321,,,833,main,English,Breakfast,Condition A (Willi),2026-07-09T10:37:25+00:00,,3,4,4,3,3,3,2,
4321,,,1255,main,English,Watches,Condition B (WV-34),2026-07-09T10:38:16+00:00,,2,1,1,1,1,1,3,
4321,,,1382,main,English,Watches,Condition B (WV-34),2026-07-09T10:38:56+00:00,,1,1,1,1,4,1,4,
4321,,,1124,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:39:23+00:00,,1,1,1,1,1,1,2,
ceci,,,519,main,English,Watches,Condition A (Willi),2026-07-09T10:39:24+00:00,,4,4,4,4,3,3,3,
ceci,,,1030,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:40:00+00:00,,3,4,4,2,4,3,3,
4321,,,666,main,English,Watches,Condition A (Willi),2026-07-09T10:40:30+00:00,,3,3,3,2,2,3,2,
4321,,,934,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:41:14+00:00,,3,1,1,3,1,1,3,
4321,,,460,main,English,Vacation,Condition A (Willi),2026-07-09T10:41:58+00:00,,3,4,3,2,4,3,2,
4321,,,999,main,English,Vacation,Condition B (WV-34),2026-07-09T10:42:50+00:00,,2,3,3,2,2,2,3,
4321,,,935,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:43:41+00:00,,1,2,1,1,4,1,4,
