participant_id,study_id,session_id,dialog_id,phase,language,subject,condition,submitted_at_utc,free_comment,user_engagement_enjoyment,user_self_disclosure,user_topical_alignment,user_elaboration_informativeness,user_initiative_active_contribution,user_politeness,user_frustration_dissatisfaction,overall_conversational_interaction_quality
4321,,,518,main,English,Vacation,Condition A (Willi),2026-07-09T10:06:03+00:00,,1,1,1,1,1,1,1,
334,,,1325,main,English,Watches,Condition B (WV-34),2026-07-09T10:06:10+00:00,,2,1,1,1,2,3,4,
ceci,,,1267,main,English,Vacation,Condition B (WV-34),2026-07-09T10:06:37+00:00,,3,3,2,2,4,4,3,
334,,,864,main,English,Vacation,Condition A (Willi),2026-07-09T10:07:04+00:00,,4,2,3,3,3,3,2,
4321,,,537,main,English,Breakfast,Condition A (Willi),2026-07-09T10:07:44+00:00,,3,3,4,1,1,1,2,
334,,,1102,main,English,Vacation,Condition B (WV-34),2026-07-09T10:07:51+00:00,,2,2,3,2,2,3,3,
ceci,,,751,main,English,Watches,Condition A (Willi),2026-07-09T10:08:56+00:00,,2,2,2,2,2,2,3,
334,,,532,main,English,Breakfast,Condition A (Willi),2026-07-09T10:09:17+00:00,,4,4,4,4,3,3,2,
ceci,,,913,main,English,Watches,Condition B (WV-34),2026-07-09T10:09:18+00:00,,2,1,1,2,2,2,3,
334,,,605,main,English,Breakfast,Condition A (Willi),2026-07-09T10:10:33+00:00,,3,3,4,2,2,2,4,
ceci,,,460,main,English,Vacation,Condition A (Willi),2026-07-09T10:10:37+00:00,,4,5,4,4,3,2,3,
4321,,,392,main,English,Vacation,Condition A (Willi),2026-07-09T10:10:58+00:00,,3,2,2,2,2,3,4,
334,,,1289,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:11:07+00:00,,3,2,3,2,3,2,4,
ceci,,,1107,main,English,Watches,Condition B (WV-34),2026-07-09T10:11:35+00:00,,2,4,4,2,2,4,4,
334,,,731,main,English,Vacation,Condition A (Willi),2026-07-09T10:11:51+00:00,,3,3,4,3,2,4,2,
334,,,519,main,English,Watches,Condition A (Willi),2026-07-09T10:12:44+00:00,,3,2,4,2,2,3,4,
ceci,,,864,main,English,Vacation,Condition A (Willi),2026-07-09T10:13:16+00:00,,3,2,1,2,2,2,3,
334,,,833,main,English,Breakfast,Condition A (Willi),2026-07-09T10:14:00+00:00,,4,4,5,3,3,3,2,
4321,,,1030,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:14:00+00:00,,4,2,3,2,2,3,2,
4321,,,1102,main,English,Vacation,Condition B (WV-34),2026-07-09T10:14:29+00:00,Nothing to rate,1,1,1,1,1,1,1,
334,,,518,main,English,Vacation,Condition A (Willi),2026-07-09T10:14:30+00:00,,1,1,2,1,1,3,4,
ceci,,,934,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:15:56+00:00,,4,4,4,3,5,3,3,
334,,,666,main,English,Watches,Condition A (Willi),2026-07-09T10:16:12+00:00,,4,3,4,3,4,4,2,
4321,,,819,main,English,Watches,Condition A (Willi),2026-07-09T10:16:22+00:00,,3,4,3,3,4,3,2,
ceci,,,1197,main,English,Vacation,Condition B (WV-34),2026-07-09T10:17:00+00:00,,3,2,4,2,4,3,3,
334,,,999,main,English,Vacation,Condition B (WV-34),2026-07-09T10:17:10+00:00,,3,4,3,2,4,3,3,
ceci,,,498,main,English,Watches,Condition A (Willi),2026-07-09T10:17:26+00:00,,2,1,4,2,2,3,3,
334,,,1000,main,English,Vacation,Condition B (WV-34),2026-07-09T10:17:49+00:00,,3,3,2,2,3,3,4,
ceci,,,537,main,English,Breakfast,Condition A (Willi),2026-07-09T10:18:46+00:00,,3,4,5,3,2,3,3,
334,,,1267,main,English,Vacation,Condition B (WV-34),2026-07-09T10:19:02+00:00,,4,3,2,4,4,3,2,
ceci,,,1124,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:19:09+00:00,,2,1,4,2,2,3,3,
4321,,,434,main,English,Breakfast,Condition A (Willi),2026-07-09T10:19:20+00:00,,4,4,3,3,2,3,2,
334,,,1382,main,English,Watches,Condition B (WV-34),2026-07-09T10:20:29+00:00,,4,2,1,2,4,3,3,
4321,,,1325,main,English,Watches,Condition B (WV-34),2026-07-09T10:20:37+00:00,,3,2,2,2,2,2,2,
ceci,,,1255,main,English,Watches,Condition B (WV-34),2026-07-09T10:20:40+00:00,,5,3,1,4,5,2,4,
ceci,,,935,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:21:14+00:00,,3,3,2,2,2,3,4,
334,,,537,main,English,Breakfast,Condition A (Willi),2026-07-09T10:21:32+00:00,,3,3,4,2,3,2,4,
ceci,,,1102,main,English,Vacation,Condition B (WV-34),2026-07-09T10:22:10+00:00,,2,1,3,2,2,3,3,
334,,,434,main,English,Breakfast,Condition A (Willi),2026-07-09T10:22:53+00:00,,4,4,5,4,4,4,2,
ceci,,,392,main,English,Vacation,Condition A (Willi),2026-07-09T10:23:07+00:00,,4,4,2,4,4,5,4,
ceci,,,819,main,English,Watches,Condition A (Willi),2026-07-09T10:24:25+00:00,,3,1,1,4,2,3,3,
4321,,,731,main,English,Vacation,Condition A (Willi),2026-07-09T10:24:34+00:00,,2,2,2,2,2,2,3,
ceci,,,1000,main,English,Vacation,Condition B (WV-34),2026-07-09T10:25:33+00:00,,3,3,2,2,2,3,3,
4321,,,605,main,English,Breakfast,Condition A (Willi),2026-07-09T10:25:49+00:00,,2,4,3,2,2,3,4,
ceci,,,518,main,English,Vacation,Condition A (Willi),2026-07-09T10:25:52+00:00,,1,1,3,1,1,3,3,
ceci,,,1325,main,English,Watches,Condition B (WV-34),2026-07-09T10:26:26+00:00,,2,1,1,2,2,4,3,
4321,,,864,main,English,Vacation,Condition A (Willi),2026-07-09T10:27:54+00:00,,2,2,1,1,3,2,4,
4321,,,1107,main,English,Watches,Condition B (WV-34),2026-07-09T10:29:16+00:00,,2,3,2,2,2,2,3,
4321,,,751,main,English,Watches,Condition A (Willi),2026-07-09T10:30:30+00:00,,1,1,1,1,1,1,5,
4321,,,498,main,English,Watches,Condition A (Willi),2026-07-09T10:31:12+00:00,,2,2,2,2,2,2,2,
4321,,,1197,main,English,Vacation,Condition B (WV-34),2026-07-09T10:32:15+00:00,,3,2,3,2,3,2,2,
4321,,,532,main,English,Breakfast,Condition A (Willi),2026-07-09T10:33:16+00:00,,3,3,4,3,2,3,2,
4321,,,913,main,English,Watches,Condition B (WV-34),2026-07-09T10:33:52+00:00,"Just one two words, nothing to rate",2,3,2,2,2,2,2,
4321,,,1267,main,English,Vacation,Condition B (WV-34),2026-07-09T10:35:27+00:00,,4,4,2,2,3,2,3,
4321,,,1289,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:36:31+00:00,,2,1,2,1,3,2,4,
4321,,,833,main,English,Breakfast,Condition A (Willi),2026-07-09T10:37:25+00:00,,3,4,4,3,3,3,2,
4321,,,1255,main,English,Watches,Condition B (WV-34),2026-07-09T10:38:16+00:00,,2,1,1,1,1,1,3,
4321,,,1382,main,English,Watches,Condition B (WV-34),2026-07-09T10:38:56+00:00,,1,1,1,1,4,1,4,
4321,,,1124,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:39:23+00:00,,1,1,1,1,1,1,2,
ceci,,,519,main,English,Watches,Condition A (Willi),2026-07-09T10:39:24+00:00,,4,4,4,4,3,3,3,
ceci,,,1030,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:40:00+00:00,,3,4,4,2,4,3,3,
4321,,,666,main,English,Watches,Condition A (Willi),2026-07-09T10:40:30+00:00,,3,3,3,2,2,3,2,
4321,,,934,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:41:14+00:00,,3,1,1,3,1,1,3,
4321,,,460,main,English,Vacation,Condition A (Willi),2026-07-09T10:41:58+00:00,,3,4,3,2,4,3,2,
4321,,,999,main,English,Vacation,Condition B (WV-34),2026-07-09T10:42:50+00:00,,2,3,3,2,2,2,3,
4321,,,935,main,English,Breakfast,Condition B (WV-34),2026-07-09T10:43:41+00:00,,1,2,1,1,4,1,4,
68766b45c8f471e8ffec2bbc,6a0449c21d692d9662137a15,0ozi5baid0d9,1349,training,English,Watches,Condition B (WV-34),2026-07-10T12:16:09+00:00,,1,1,5,1,5,1,5,1.0
999,,,1349,training,English,Watches,Condition B (WV-34),2026-07-15T16:10:30+00:00,hi,5,5,5,5,5,5,4,5.0
999,,,614,training,English,Vacation,Condition A (Willi),2026-07-15T16:10:48+00:00,Hi,3,3,4,4,4,5,4,5.0
999,,,507,training,English,Breakfast,Condition A (Willi),2026-07-15T16:11:01+00:00,,2,2,4,4,2,3,5,3.0
998,,,1349,training,English,Watches,Condition B (WV-34),2026-07-15T16:24:20+00:00,,2,2,3,1,3,1,3,3.0
023,,,1349,training,English,Watches,Condition B (WV-34),2026-07-16T08:21:18+00:00,,5,5,5,5,4,4,1,5.0
023,,,614,training,English,Vacation,Condition A (Willi),2026-07-16T08:27:36+00:00,,3,3,3,4,3,3,1,4.0
023,,,507,training,English,Breakfast,Condition A (Willi),2026-07-16T08:28:39+00:00,,2,1,3,2,1,3,1,1.0
023,,,732,training,English,Breakfast,Condition A (Willi),2026-07-16T08:31:30+00:00,,5,4,4,4,3,5,2,4.0
023,,,926,training,English,Watches,Condition B (WV-34),2026-07-16T08:35:21+00:00,,3,1,2,1,4,4,5,3.0
023,,,888,training,English,Vacation,Condition A (Willi),2026-07-16T08:38:58+00:00,,2,1,4,2,2,2,3,2.0
023,,,515,main,English,Breakfast,Condition A (Willi),2026-07-16T08:39:44+00:00,,1,1,3,2,2,3,1,1.0
022,,,1349,training,English,Watches,Condition B (WV-34),2026-07-16T08:42:10+00:00,,5,4,3,4,3,3,2,4.0
023,,,1041,main,English,Watches,Condition B (WV-34),2026-07-16T08:42:27+00:00,,4,3,4,3,3,3,2,3.0
023,,,1140,main,English,Vacation,Condition B (WV-34),2026-07-16T08:43:40+00:00,,3,3,4,3,2,3,1,3.0
023,,,662,main,English,Watches,Condition A (Willi),2026-07-16T08:46:09+00:00,,4,4,5,3,4,4,5,3.0
023,,,729,main,English,Vacation,Condition A (Willi),2026-07-16T08:47:00+00:00,,1,1,3,1,1,3,1,1.0
022,,,614,training,English,Vacation,Condition A (Willi),2026-07-16T08:47:39+00:00,,3,3,3,3,3,2,2,2.0
023,,,847,main,English,Watches,Condition A (Willi),2026-07-16T08:48:22+00:00,transcription artifact,1,1,1,1,1,3,1,2.0
023,,,1332,main,English,Vacation,Condition B (WV-34),2026-07-16T08:49:07+00:00,,5,5,5,5,4,5,1,5.0
022,,,507,training,English,Breakfast,Condition A (Willi),2026-07-16T08:49:41+00:00,,1,1,2,1,1,3,1,1.0
023,,,821,main,English,Off-topic,Condition A (Willi),2026-07-16T08:50:19+00:00,,3,1,1,2,5,4,1,3.0
023,,,644,main,English,Breakfast,Condition A (Willi),2026-07-16T08:51:33+00:00,,4,3,4,3,2,3,1,3.0
022,,,732,training,English,Breakfast,Condition A (Willi),2026-07-16T08:51:37+00:00,,5,4,3,5,4,2,3,3.0
023,,,534,main,English,Breakfast,Condition A (Willi),2026-07-16T08:53:00+00:00,,4,3,4,4,3,4,1,4.0
023,,,820,main,English,Watches,Condition A (Willi),2026-07-16T08:54:32+00:00,,4,3,4,4,4,3,2,4.0
022,,,926,training,English,Watches,Condition B (WV-34),2026-07-16T08:54:59+00:00,,4,2,1,1,3,2,4,2.0
023,,,396,main,English,Watches,Condition A (Willi),2026-07-16T08:55:59+00:00,billy name,4,3,4,3,2,5,1,4.0
023,,,1134,main,English,Watches,Condition B (WV-34),2026-07-16T08:56:54+00:00,,2,1,1,1,5,4,1,2.0
022,,,888,training,English,Vacation,Condition A (Willi),2026-07-16T08:57:17+00:00,,2,1,2,2,3,2,3,1.0
023,,,1097,main,English,Vacation,Condition B (WV-34),2026-07-16T08:57:39+00:00,,4,5,5,5,4,5,1,5.0
023,,,1101,main,English,Vacation,Condition B (WV-34),2026-07-16T08:58:55+00:00,name,4,4,4,4,3,5,2,3.0
022,,,528,main,English,Vacation,Condition A (Willi),2026-07-16T09:00:01+00:00,,2,2,3,1,2,3,2,2.0
023,,,757,main,English,Vacation,Condition A (Willi),2026-07-16T09:01:07+00:00,,4,4,4,3,3,5,1,4.0
023,,,873,main,English,Watches,Condition A (Willi),2026-07-16T09:01:37+00:00,,3,2,3,2,2,3,1,2.0
023,,,1137,main,English,Vacation,Condition B (WV-34),2026-07-16T09:02:53+00:00,,2,1,1,1,4,3,1,2.0
023,,,1029,main,English,Vacation,Condition B (WV-34),2026-07-16T09:03:42+00:00,,3,2,2,2,2,3,1,2.0
022,,,1412,main,English,Watches,Condition B (WV-34),2026-07-16T09:04:22+00:00,,2,1,4,2,2,3,3,2.0
023,,,1288,main,English,Off-topic,Condition B (WV-34),2026-07-16T09:04:28+00:00,,2,1,1,1,1,3,1,2.0
023,,,874,main,English,Vacation,Condition A (Willi),2026-07-16T09:05:15+00:00,,1,1,2,1,1,3,1,1.0
022,,,1156,main,English,Vacation,Condition B (WV-34),2026-07-16T09:05:19+00:00,,3,2,4,2,2,4,3,2.0
023,,,1147,main,English,Vacation,Condition B (WV-34),2026-07-16T09:06:02+00:00,,2,2,2,2,2,1,1,2.0
023,,,936,main,English,Vacation,Condition B (WV-34),2026-07-16T09:07:02+00:00,,4,5,5,5,4,3,1,5.0
022,,,844,main,English,Breakfast,Condition A (Willi),2026-07-16T09:07:22+00:00,,4,1,1,1,4,4,1,1.0
023,,,651,main,English,Vacation,Condition A (Willi),2026-07-16T09:08:35+00:00,,3,2,3,2,2,3,1,3.0
023,,,646,main,English,Vacation,Condition A (Willi),2026-07-16T09:09:00+00:00,,3,3,3,3,3,3,1,3.0
023,,,661,main,English,Breakfast,Condition A (Willi),2026-07-16T09:10:00+00:00,,3,3,3,3,4,3,3,3.0
023,,,1156,main,English,Vacation,Condition B (WV-34),2026-07-16T09:10:41+00:00,,1,1,3,1,1,3,1,1.0
022,,,1140,main,English,Vacation,Condition B (WV-34),2026-07-16T09:11:42+00:00,,3,2,4,2,2,3,1,2.0
023,,,844,main,English,Breakfast,Condition A (Willi),2026-07-16T09:11:51+00:00,,4,1,1,1,5,3,1,3.0
023,,,1412,main,English,Watches,Condition B (WV-34),2026-07-16T09:12:25+00:00,,3,2,3,2,2,2,1,2.0
023,,,528,main,English,Vacation,Condition A (Willi),2026-07-16T09:13:00+00:00,,2,1,3,2,1,3,1,2.0
022,,,1134,main,English,Watches,Condition B (WV-34),2026-07-16T09:15:55+00:00,,2,1,1,1,2,3,2,1.0
022,,,1041,main,English,Watches,Condition B (WV-34),2026-07-16T09:17:27+00:00,,3,3,3,2,3,2,2,2.0
022,,,1101,main,English,Vacation,Condition B (WV-34),2026-07-16T09:19:24+00:00,,3,2,3,3,2,4,2,2.0
022,,,820,main,English,Watches,Condition A (Willi),2026-07-16T09:21:29+00:00,,3,2,4,3,2,3,2,3.0
022,,,644,main,English,Breakfast,Condition A (Willi),2026-07-16T09:22:50+00:00,,3,2,4,3,2,3,1,4.0
022,,,396,main,English,Watches,Condition A (Willi),2026-07-16T09:24:47+00:00,,4,3,4,3,2,4,1,5.0
022,,,1029,main,English,Vacation,Condition B (WV-34),2026-07-16T09:26:04+00:00,,3,3,3,2,3,3,1,3.0
022,,,1332,main,English,Vacation,Condition B (WV-34),2026-07-16T09:29:56+00:00,,4,4,3,4,3,4,2,4.0
022,,,847,main,English,Watches,Condition A (Willi),2026-07-16T09:32:54+00:00,,2,1,1,1,1,2,2,1.0
022,,,873,main,English,Watches,Condition A (Willi),2026-07-16T09:33:58+00:00,,3,3,4,3,2,3,2,3.0
022,,,1288,main,English,Off-topic,Condition B (WV-34),2026-07-16T09:35:42+00:00,,2,2,1,1,3,2,2,1.0
022,,,757,main,English,Vacation,Condition A (Willi),2026-07-16T09:39:05+00:00,,3,3,4,3,2,3,2,3.0
022,,,1097,main,English,Vacation,Condition B (WV-34),2026-07-16T09:40:36+00:00,,4,3,5,4,2,4,1,4.0
022,,,729,main,English,Vacation,Condition A (Willi),2026-07-16T09:41:20+00:00,,2,1,2,2,1,3,1,1.0
022,,,646,main,English,Vacation,Condition A (Willi),2026-07-16T09:42:21+00:00,,3,3,4,3,2,3,1,4.0
022,,,1137,main,English,Vacation,Condition B (WV-34),2026-07-16T09:43:11+00:00,,2,1,1,1,1,3,2,1.0
022,,,534,main,English,Breakfast,Condition A (Willi),2026-07-16T09:44:47+00:00,,3,3,4,3,2,3,2,4.0
022,,,651,main,English,Vacation,Condition A (Willi),2026-07-16T09:45:40+00:00,,3,2,3,2,3,3,1,3.0
022,,,661,main,English,Breakfast,Condition A (Willi),2026-07-16T09:47:05+00:00,,2,2,3,2,2,2,2,2.0
022,,,1147,main,English,Vacation,Condition B (WV-34),2026-07-16T09:48:14+00:00,,2,2,3,2,2,1,2,2.0
022,,,515,main,English,Breakfast,Condition A (Willi),2026-07-16T09:49:25+00:00,,2,1,2,1,1,3,1,1.0
022,,,821,main,English,Off-topic,Condition A (Willi),2026-07-16T09:50:51+00:00,,3,1,1,1,3,3,1,2.0
022,,,936,main,English,Vacation,Condition B (WV-34),2026-07-16T09:52:35+00:00,,4,4,5,4,4,3,1,4.0
022,,,662,main,English,Watches,Condition A (Willi),2026-07-16T09:53:35+00:00,,3,2,3,2,3,2,2,3.0
022,,,874,main,English,Vacation,Condition A (Willi),2026-07-16T09:54:24+00:00,,2,1,2,1,3,3,2,1.0
021,,,1349,training,English,Watches,Condition B (WV-34),2026-07-16T10:59:32+00:00,,4,5,3,4,3,3,1,4.0
021,,,614,training,English,Vacation,Condition A (Willi),2026-07-16T11:02:54+00:00,,3,2,3,3,1,3,1,3.0
021,,,507,training,English,Breakfast,Condition A (Willi),2026-07-16T11:04:33+00:00,,2,1,1,1,1,5,3,1.0
021,,,732,training,English,Breakfast,Condition A (Willi),2026-07-16T11:07:08+00:00,,3,4,3,3,2,2,3,3.0
021,,,926,training,English,Watches,Condition B (WV-34),2026-07-16T11:08:37+00:00,,2,1,1,1,1,1,4,1.0
021,,,888,training,English,Vacation,Condition A (Willi),2026-07-16T11:09:52+00:00,,1,1,1,1,1,1,5,1.0
021,,,821,main,English,Off-topic,Condition A (Willi),2026-07-16T11:12:37+00:00,,1,1,1,1,1,3,1,2.0
021,,,515,main,English,Breakfast,Condition A (Willi),2026-07-16T11:13:13+00:00,,1,1,1,1,1,3,1,1.0
021,,,1029,main,English,Vacation,Condition B (WV-34),2026-07-16T11:14:24+00:00,,3,2,3,3,2,3,1,2.0
021,,,1137,main,English,Vacation,Condition B (WV-34),2026-07-16T11:15:53+00:00,,1,1,1,1,1,3,1,1.0
021,,,644,main,English,Breakfast,Condition A (Willi),2026-07-16T11:16:52+00:00,,3,3,3,3,2,3,1,3.0
021,,,1412,main,English,Watches,Condition B (WV-34),2026-07-16T11:17:46+00:00,,2,2,2,1,1,3,1,2.0
021,,,651,main,English,Vacation,Condition A (Willi),2026-07-16T11:19:05+00:00,,3,2,3,2,3,3,1,3.0
021,,,662,main,English,Watches,Condition A (Willi),2026-07-16T11:20:09+00:00,,3,2,3,2,2,2,2,3.0
021,,,844,main,English,Breakfast,Condition A (Willi),2026-07-16T11:21:52+00:00,,4,2,1,1,4,3,1,3.0
021,,,396,main,English,Watches,Condition A (Willi),2026-07-16T11:23:07+00:00,,3,4,4,3,3,4,1,3.0
021,,,873,main,English,Watches,Condition A (Willi),2026-07-16T11:23:57+00:00,,2,2,3,2,2,3,1,3.0
021,,,936,main,English,Vacation,Condition B (WV-34),2026-07-16T11:25:05+00:00,,4,4,4,4,4,3,1,3.0
021,,,1140,main,English,Vacation,Condition B (WV-34),2026-07-16T11:26:09+00:00,,3,2,4,2,1,3,1,3.0
021,,,528,main,English,Vacation,Condition A (Willi),2026-07-16T11:27:28+00:00,,2,2,3,2,1,2,2,2.0
021,,,820,main,English,Watches,Condition A (Willi),2026-07-16T11:29:32+00:00,,4,4,4,4,2,3,1,3.0
021,,,1288,main,English,Off-topic,Condition B (WV-34),2026-07-16T11:30:38+00:00,,1,1,1,1,1,3,1,1.0
021,,,1134,main,English,Watches,Condition B (WV-34),2026-07-16T11:31:16+00:00,,1,1,1,1,1,3,1,1.0
021,,,847,main,English,Watches,Condition A (Willi),2026-07-16T11:32:05+00:00,,1,1,1,1,1,3,1,1.0
021,,,1041,main,English,Watches,Condition B (WV-34),2026-07-16T11:32:57+00:00,,2,2,2,2,2,3,1,2.0
021,,,534,main,English,Breakfast,Condition A (Willi),2026-07-16T11:34:47+00:00,,4,5,5,5,4,5,1,4.0
021,,,1156,main,English,Vacation,Condition B (WV-34),2026-07-16T11:35:50+00:00,,2,2,3,1,4,3,1,1.0
021,,,646,main,English,Vacation,Condition A (Willi),2026-07-16T11:36:48+00:00,,3,3,3,3,2,3,1,3.0
021,,,1097,main,English,Vacation,Condition B (WV-34),2026-07-16T11:37:44+00:00,,5,4,5,4,4,3,1,4.0
021,,,1332,main,English,Vacation,Condition B (WV-34),2026-07-16T11:38:48+00:00,,4,4,4,4,3,4,1,4.0
021,,,874,main,English,Vacation,Condition A (Willi),2026-07-16T11:40:18+00:00,,1,1,1,1,1,3,1,1.0
021,,,757,main,English,Vacation,Condition A (Willi),2026-07-16T11:41:18+00:00,,3,3,3,3,2,3,1,3.0
021,,,661,main,English,Breakfast,Condition A (Willi),2026-07-16T11:42:34+00:00,,3,2,3,2,2,3,1,3.0
021,,,729,main,English,Vacation,Condition A (Willi),2026-07-16T11:43:04+00:00,,1,1,1,1,1,3,1,1.0
021,,,1101,main,English,Vacation,Condition B (WV-34),2026-07-16T11:43:51+00:00,,3,3,3,3,2,3,1,3.0
021,,,1147,main,English,Vacation,Condition B (WV-34),2026-07-16T11:45:00+00:00,,2,2,2,2,1,1,3,2.0
