dialog_id,dimension,rater_21,rater_22,rater_23,range,std
662,user_initiative_active_contribution,2.0,3.0,4.0,2.0,1.0
661,user_initiative_active_contribution,2.0,2.0,4.0,2.0,1.1547005383792515
732,user_initiative_active_contribution,2.0,4.0,3.0,2.0,1.0
820,user_initiative_active_contribution,2.0,2.0,4.0,2.0,1.1547005383792515
820,user_self_disclosure,4.0,2.0,3.0,2.0,1.0
888,user_initiative_active_contribution,1.0,3.0,2.0,2.0,1.0
1097,user_self_disclosure,4.0,3.0,5.0,2.0,1.0
1101,user_self_disclosure,3.0,2.0,4.0,2.0,1.0
732,user_elaboration_informativeness,3.0,5.0,4.0,2.0,1.0
534,user_elaboration_informativeness,5.0,3.0,4.0,2.0,1.0
1332,user_topical_alignment,4.0,3.0,5.0,2.0,1.0
1349,user_topical_alignment,3.0,3.0,5.0,2.0,1.1547005383792515
1412,user_topical_alignment,2.0,4.0,3.0,2.0,1.0
1041,user_topical_alignment,2.0,3.0,4.0,2.0,1.0
662,user_topical_alignment,3.0,3.0,5.0,2.0,1.1547005383792515
729,user_topical_alignment,1.0,2.0,3.0,2.0,1.0
507,user_topical_alignment,1.0,2.0,3.0,2.0,1.0
515,user_topical_alignment,1.0,2.0,3.0,2.0,1.0
732,user_engagement_enjoyment,3.0,5.0,5.0,2.0,1.1547005383792517
821,user_engagement_enjoyment,1.0,3.0,3.0,2.0,1.1547005383792515
614,overall_conversational_interaction_quality,3.0,2.0,4.0,2.0,1.0
844,overall_conversational_interaction_quality,3.0,1.0,3.0,2.0,1.1547005383792515
873,overall_conversational_interaction_quality,3.0,3.0,2.0,1.0,0.5773502691896258
847,overall_conversational_interaction_quality,1.0,1.0,2.0,1.0,0.5773502691896257
821,overall_conversational_interaction_quality,2.0,2.0,3.0,1.0,0.5773502691896258
820,overall_conversational_interaction_quality,3.0,3.0,4.0,1.0,0.5773502691896258
732,overall_conversational_interaction_quality,3.0,3.0,4.0,1.0,0.5773502691896258
757,overall_conversational_interaction_quality,3.0,3.0,4.0,1.0,0.5773502691896258
646,overall_conversational_interaction_quality,3.0,4.0,3.0,1.0,0.5773502691896258
661,overall_conversational_interaction_quality,3.0,2.0,3.0,1.0,0.5773502691896258
1156,user_self_disclosure,2.0,2.0,1.0,1.0,0.5773502691896257
1332,user_self_disclosure,4.0,4.0,5.0,1.0,0.5773502691896258
820,user_engagement_enjoyment,4.0,3.0,4.0,1.0,0.5773502691896258
644,overall_conversational_interaction_quality,3.0,4.0,3.0,1.0,0.5773502691896258
757,user_engagement_enjoyment,3.0,3.0,4.0,1.0,0.5773502691896258
661,user_engagement_enjoyment,3.0,2.0,3.0,1.0,0.5773502691896258
662,user_engagement_enjoyment,3.0,3.0,4.0,1.0,0.5773502691896258
729,user_engagement_enjoyment,1.0,2.0,1.0,1.0,0.5773502691896257
534,user_engagement_enjoyment,4.0,3.0,4.0,1.0,0.5773502691896258
644,user_engagement_enjoyment,3.0,3.0,4.0,1.0,0.5773502691896258
644,user_topical_alignment,3.0,4.0,4.0,1.0,0.5773502691896258
534,user_topical_alignment,5.0,4.0,4.0,1.0,0.5773502691896258
646,user_topical_alignment,3.0,4.0,3.0,1.0,0.5773502691896258
396,user_engagement_enjoyment,3.0,4.0,4.0,1.0,0.5773502691896258
507,user_engagement_enjoyment,2.0,1.0,2.0,1.0,0.5773502691896257
515,user_engagement_enjoyment,1.0,2.0,1.0,1.0,0.5773502691896257
1412,user_self_disclosure,2.0,1.0,2.0,1.0,0.5773502691896257
1349,user_self_disclosure,5.0,4.0,5.0,1.0,0.5773502691896258
1288,user_self_disclosure,1.0,2.0,1.0,1.0,0.5773502691896257
1156,user_topical_alignment,3.0,4.0,3.0,1.0,0.5773502691896258
873,user_elaboration_informativeness,2.0,3.0,2.0,1.0,0.5773502691896258
821,user_elaboration_informativeness,1.0,1.0,2.0,1.0,0.5773502691896257
1101,user_topical_alignment,3.0,3.0,4.0,1.0,0.5773502691896258
528,user_elaboration_informativeness,2.0,1.0,2.0,1.0,0.5773502691896257
757,user_topical_alignment,3.0,4.0,4.0,1.0,0.5773502691896258
732,user_topical_alignment,3.0,3.0,4.0,1.0,0.5773502691896258
874,user_topical_alignment,1.0,2.0,2.0,1.0,0.5773502691896257
873,user_topical_alignment,3.0,4.0,3.0,1.0,0.5773502691896258
926,user_topical_alignment,1.0,1.0,2.0,1.0,0.5773502691896257
936,user_topical_alignment,4.0,5.0,5.0,1.0,0.5773502691896258
1029,user_topical_alignment,3.0,3.0,2.0,1.0,0.5773502691896258
1140,user_self_disclosure,2.0,2.0,3.0,1.0,0.5773502691896258
926,user_self_disclosure,1.0,2.0,1.0,1.0,0.5773502691896257
936,user_self_disclosure,4.0,4.0,5.0,1.0,0.5773502691896258
1041,user_self_disclosure,2.0,3.0,3.0,1.0,0.5773502691896258
888,user_elaboration_informativeness,1.0,2.0,2.0,1.0,0.5773502691896257
936,user_elaboration_informativeness,4.0,4.0,5.0,1.0,0.5773502691896258
1029,user_self_disclosure,2.0,3.0,2.0,1.0,0.5773502691896258
1140,user_elaboration_informativeness,2.0,2.0,3.0,1.0,0.5773502691896258
1156,user_elaboration_informativeness,1.0,2.0,1.0,1.0,0.5773502691896257
614,user_elaboration_informativeness,3.0,3.0,4.0,1.0,0.5773502691896258
1412,user_elaboration_informativeness,1.0,2.0,2.0,1.0,0.5773502691896257
1349,user_elaboration_informativeness,4.0,4.0,5.0,1.0,0.5773502691896258
1332,user_elaboration_informativeness,4.0,4.0,5.0,1.0,0.5773502691896258
661,user_elaboration_informativeness,2.0,2.0,3.0,1.0,0.5773502691896258
1147,user_topical_alignment,2.0,3.0,2.0,1.0,0.5773502691896258
507,user_elaboration_informativeness,1.0,1.0,2.0,1.0,0.5773502691896257
515,user_elaboration_informativeness,1.0,1.0,2.0,1.0,0.5773502691896257
1097,user_elaboration_informativeness,4.0,4.0,5.0,1.0,0.5773502691896258
1101,user_elaboration_informativeness,3.0,3.0,4.0,1.0,0.5773502691896258
1029,user_elaboration_informativeness,3.0,2.0,2.0,1.0,0.5773502691896258
1041,user_elaboration_informativeness,2.0,2.0,3.0,1.0,0.5773502691896258
729,user_elaboration_informativeness,1.0,2.0,1.0,1.0,0.5773502691896257
662,user_elaboration_informativeness,2.0,2.0,3.0,1.0,0.5773502691896258
820,user_elaboration_informativeness,4.0,3.0,4.0,1.0,0.5773502691896258
873,user_engagement_enjoyment,2.0,3.0,3.0,1.0,0.5773502691896258
1134,user_engagement_enjoyment,1.0,2.0,2.0,1.0,0.5773502691896257
1101,user_engagement_enjoyment,3.0,3.0,4.0,1.0,0.5773502691896258
1332,user_engagement_enjoyment,4.0,4.0,5.0,1.0,0.5773502691896258
1288,user_engagement_enjoyment,1.0,2.0,2.0,1.0,0.5773502691896257
847,user_politeness,3.0,2.0,3.0,1.0,0.5773502691896258
844,user_politeness,3.0,4.0,3.0,1.0,0.5773502691896258
821,user_politeness,3.0,3.0,4.0,1.0,0.5773502691896258
614,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
396,user_politeness,4.0,4.0,5.0,1.0,0.5773502691896258
1412,user_initiative_active_contribution,1.0,2.0,2.0,1.0,0.5773502691896257
1349,user_initiative_active_contribution,3.0,3.0,4.0,1.0,0.5773502691896258
1332,user_initiative_active_contribution,3.0,3.0,4.0,1.0,0.5773502691896258
661,user_self_disclosure,2.0,2.0,3.0,1.0,0.5773502691896258
528,user_self_disclosure,2.0,2.0,1.0,1.0,0.5773502691896257
614,user_self_disclosure,2.0,3.0,3.0,1.0,0.5773502691896258
644,user_self_disclosure,3.0,2.0,3.0,1.0,0.5773502691896258
1349,user_engagement_enjoyment,4.0,5.0,5.0,1.0,0.5773502691896258
1412,user_engagement_enjoyment,2.0,2.0,3.0,1.0,0.5773502691896258
396,user_self_disclosure,4.0,3.0,3.0,1.0,0.5773502691896258
888,user_politeness,1.0,2.0,2.0,1.0,0.5773502691896257
1041,user_politeness,3.0,2.0,3.0,1.0,0.5773502691896258
1134,user_politeness,3.0,3.0,4.0,1.0,0.5773502691896258
661,user_politeness,3.0,2.0,3.0,1.0,0.5773502691896258
614,user_politeness,3.0,2.0,3.0,1.0,0.5773502691896258
1140,user_initiative_active_contribution,1.0,2.0,2.0,1.0,0.5773502691896257
1101,user_initiative_active_contribution,2.0,2.0,3.0,1.0,0.5773502691896258
1041,user_initiative_active_contribution,2.0,3.0,3.0,1.0,0.5773502691896258
1029,user_initiative_active_contribution,2.0,3.0,2.0,1.0,0.5773502691896258
844,user_initiative_active_contribution,4.0,4.0,5.0,1.0,0.5773502691896258
528,user_politeness,2.0,3.0,3.0,1.0,0.5773502691896258
396,user_initiative_active_contribution,3.0,2.0,2.0,1.0,0.5773502691896258
1147,user_initiative_active_contribution,1.0,2.0,2.0,1.0,0.5773502691896257
651,user_initiative_active_contribution,3.0,3.0,2.0,1.0,0.5773502691896258
646,user_initiative_active_contribution,2.0,2.0,3.0,1.0,0.5773502691896258
528,user_initiative_active_contribution,1.0,2.0,1.0,1.0,0.5773502691896257
515,user_initiative_active_contribution,1.0,1.0,2.0,1.0,0.5773502691896257
757,user_self_disclosure,3.0,3.0,4.0,1.0,0.5773502691896258
757,user_initiative_active_contribution,2.0,2.0,3.0,1.0,0.5773502691896258
844,user_self_disclosure,2.0,1.0,1.0,1.0,0.5773502691896257
873,user_self_disclosure,2.0,3.0,2.0,1.0,0.5773502691896258
1097,overall_conversational_interaction_quality,4.0,4.0,5.0,1.0,0.5773502691896258
1041,overall_conversational_interaction_quality,2.0,2.0,3.0,1.0,0.5773502691896258
1029,overall_conversational_interaction_quality,2.0,3.0,2.0,1.0,0.5773502691896258
1101,overall_conversational_interaction_quality,3.0,2.0,3.0,1.0,0.5773502691896258
888,overall_conversational_interaction_quality,1.0,1.0,2.0,1.0,0.5773502691896257
1134,overall_conversational_interaction_quality,1.0,1.0,2.0,1.0,0.5773502691896257
1137,overall_conversational_interaction_quality,1.0,1.0,2.0,1.0,0.5773502691896257
1140,overall_conversational_interaction_quality,3.0,2.0,3.0,1.0,0.5773502691896258
847,user_engagement_enjoyment,1.0,2.0,1.0,1.0,0.5773502691896257
1101,user_frustration_dissatisfaction,1.0,2.0,2.0,1.0,0.5773502691896257
1097,user_engagement_enjoyment,5.0,4.0,4.0,1.0,0.5773502691896258
1137,user_engagement_enjoyment,1.0,2.0,2.0,1.0,0.5773502691896257
1041,user_frustration_dissatisfaction,1.0,2.0,2.0,1.0,0.5773502691896257
1137,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
1134,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
1332,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
873,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
847,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
757,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
820,user_frustration_dissatisfaction,1.0,2.0,2.0,1.0,0.5773502691896257
732,user_frustration_dissatisfaction,3.0,3.0,2.0,1.0,0.5773502691896258
1349,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
1288,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
926,user_frustration_dissatisfaction,4.0,4.0,5.0,1.0,0.5773502691896258
1156,user_politeness,3.0,4.0,3.0,1.0,0.5773502691896258
874,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
1288,user_politeness,3.0,2.0,3.0,1.0,0.5773502691896258
1332,user_politeness,4.0,4.0,5.0,1.0,0.5773502691896258
1412,user_politeness,3.0,3.0,2.0,1.0,0.5773502691896258
1349,user_politeness,3.0,3.0,4.0,1.0,0.5773502691896258
528,user_frustration_dissatisfaction,2.0,2.0,1.0,1.0,0.5773502691896257
534,user_frustration_dissatisfaction,1.0,2.0,1.0,1.0,0.5773502691896257
1332,overall_conversational_interaction_quality,4.0,4.0,5.0,1.0,0.5773502691896258
874,user_engagement_enjoyment,1.0,2.0,1.0,1.0,0.5773502691896257
888,user_engagement_enjoyment,1.0,2.0,2.0,1.0,0.5773502691896257
1156,overall_conversational_interaction_quality,1.0,2.0,1.0,1.0,0.5773502691896257
1349,overall_conversational_interaction_quality,4.0,4.0,5.0,1.0,0.5773502691896258
1288,overall_conversational_interaction_quality,1.0,1.0,2.0,1.0,0.5773502691896257
614,user_engagement_enjoyment,3.0,3.0,3.0,0.0,0.0
534,overall_conversational_interaction_quality,4.0,4.0,4.0,0.0,0.0
528,user_engagement_enjoyment,2.0,2.0,2.0,0.0,0.0
646,user_engagement_enjoyment,3.0,3.0,3.0,0.0,0.0
651,user_engagement_enjoyment,3.0,3.0,3.0,0.0,0.0
874,overall_conversational_interaction_quality,1.0,1.0,1.0,0.0,0.0
729,overall_conversational_interaction_quality,1.0,1.0,1.0,0.0,0.0
662,overall_conversational_interaction_quality,3.0,3.0,3.0,0.0,0.0
651,overall_conversational_interaction_quality,3.0,3.0,3.0,0.0,0.0
844,user_elaboration_informativeness,1.0,1.0,1.0,0.0,0.0
651,user_topical_alignment,3.0,3.0,3.0,0.0,0.0
661,user_topical_alignment,3.0,3.0,3.0,0.0,0.0
821,user_topical_alignment,1.0,1.0,1.0,0.0,0.0
820,user_topical_alignment,4.0,4.0,4.0,0.0,0.0
844,user_topical_alignment,1.0,1.0,1.0,0.0,0.0
847,user_topical_alignment,1.0,1.0,1.0,0.0,0.0
1137,user_self_disclosure,1.0,1.0,1.0,0.0,0.0
1288,user_topical_alignment,1.0,1.0,1.0,0.0,0.0
1137,user_topical_alignment,1.0,1.0,1.0,0.0,0.0
1140,user_topical_alignment,4.0,4.0,4.0,0.0,0.0
396,user_elaboration_informativeness,3.0,3.0,3.0,0.0,0.0
1134,user_topical_alignment,1.0,1.0,1.0,0.0,0.0
614,user_topical_alignment,3.0,3.0,3.0,0.0,0.0
396,user_topical_alignment,4.0,4.0,4.0,0.0,0.0
528,user_topical_alignment,3.0,3.0,3.0,0.0,0.0
1147,user_self_disclosure,2.0,2.0,2.0,0.0,0.0
874,user_self_disclosure,1.0,1.0,1.0,0.0,0.0
888,user_self_disclosure,1.0,1.0,1.0,0.0,0.0
1134,user_self_disclosure,1.0,1.0,1.0,0.0,0.0
926,user_elaboration_informativeness,1.0,1.0,1.0,0.0,0.0
1137,user_elaboration_informativeness,1.0,1.0,1.0,0.0,0.0
1134,user_elaboration_informativeness,1.0,1.0,1.0,0.0,0.0
1288,user_elaboration_informativeness,1.0,1.0,1.0,0.0,0.0
1147,user_elaboration_informativeness,2.0,2.0,2.0,0.0,0.0
644,user_elaboration_informativeness,3.0,3.0,3.0,0.0,0.0
646,user_elaboration_informativeness,3.0,3.0,3.0,0.0,0.0
651,user_elaboration_informativeness,2.0,2.0,2.0,0.0,0.0
757,user_elaboration_informativeness,3.0,3.0,3.0,0.0,0.0
874,user_elaboration_informativeness,1.0,1.0,1.0,0.0,0.0
1097,user_topical_alignment,5.0,5.0,5.0,0.0,0.0
847,user_elaboration_informativeness,1.0,1.0,1.0,0.0,0.0
651,user_self_disclosure,2.0,2.0,2.0,0.0,0.0
847,user_initiative_active_contribution,1.0,1.0,1.0,0.0,0.0
873,user_initiative_active_contribution,2.0,2.0,2.0,0.0,0.0
507,user_initiative_active_contribution,1.0,1.0,1.0,0.0,0.0
644,user_initiative_active_contribution,2.0,2.0,2.0,0.0,0.0
821,user_self_disclosure,1.0,1.0,1.0,0.0,0.0
847,user_self_disclosure,1.0,1.0,1.0,0.0,0.0
732,user_self_disclosure,4.0,4.0,4.0,0.0,0.0
729,user_initiative_active_contribution,1.0,1.0,1.0,0.0,0.0
936,user_initiative_active_contribution,4.0,4.0,4.0,0.0,0.0
729,user_politeness,3.0,3.0,3.0,0.0,0.0
515,user_self_disclosure,1.0,1.0,1.0,0.0,0.0
729,user_self_disclosure,1.0,1.0,1.0,0.0,0.0
646,user_politeness,3.0,3.0,3.0,0.0,0.0
651,user_politeness,3.0,3.0,3.0,0.0,0.0
644,user_politeness,3.0,3.0,3.0,0.0,0.0
515,user_politeness,3.0,3.0,3.0,0.0,0.0
644,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
646,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
820,user_politeness,3.0,3.0,3.0,0.0,0.0
873,user_politeness,3.0,3.0,3.0,0.0,0.0
936,user_politeness,3.0,3.0,3.0,0.0,0.0
1029,user_politeness,3.0,3.0,3.0,0.0,0.0
874,user_politeness,3.0,3.0,3.0,0.0,0.0
507,user_self_disclosure,1.0,1.0,1.0,0.0,0.0
646,user_self_disclosure,3.0,3.0,3.0,0.0,0.0
1137,user_politeness,3.0,3.0,3.0,0.0,0.0
515,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
396,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
936,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
1140,user_politeness,3.0,3.0,3.0,0.0,0.0
1029,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
1147,user_politeness,1.0,1.0,1.0,0.0,0.0
1140,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
528,overall_conversational_interaction_quality,2.0,2.0,2.0,0.0,0.0
515,overall_conversational_interaction_quality,1.0,1.0,1.0,0.0,0.0
507,overall_conversational_interaction_quality,1.0,1.0,1.0,0.0,0.0
651,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
844,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
821,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
729,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
936,user_engagement_enjoyment,4.0,4.0,4.0,0.0,0.0
1029,user_engagement_enjoyment,3.0,3.0,3.0,0.0,0.0
1147,user_engagement_enjoyment,2.0,2.0,2.0,0.0,0.0
1140,user_engagement_enjoyment,3.0,3.0,3.0,0.0,0.0
1097,user_frustration_dissatisfaction,1.0,1.0,1.0,0.0,0.0
1147,overall_conversational_interaction_quality,2.0,2.0,2.0,0.0,0.0
844,user_engagement_enjoyment,4.0,4.0,4.0,0.0,0.0
1412,overall_conversational_interaction_quality,2.0,2.0,2.0,0.0,0.0
