period,pilot_name,dimension,Type,ICC,F,df1,df2,pval,CI95
Before,pilot_1st_0709_6+30,user_politeness,"ICC(C,k)",0.4864864864864865,1.9473684210526319,5,10,0.17297943652472594,[-1.18  0.92]
Before,pilot_1st_0709_6+30,user_frustration_dissatisfaction,"ICC(1,1)",-0.09090909090909106,0.7499999999999997,5,12,0.6016901377372355,[-0.37  0.56]
Before,pilot_1st_0709_6+30,user_frustration_dissatisfaction,"ICC(A,1)",-0.10344827586206913,0.7272727272727268,5,10,0.6186904345576478,[-0.41  0.57]
Before,pilot_1st_0709_6+30,user_frustration_dissatisfaction,"ICC(C,1)",-0.10000000000000014,0.7272727272727268,5,10,0.6186904345576478,[-0.38  0.56]
Before,pilot_1st_0709_6+30,user_frustration_dissatisfaction,"ICC(1,k)",-0.333333333333334,0.7499999999999997,5,12,0.6016901377372355,[-4.19  0.8 ]
Before,pilot_1st_0709_6+30,user_frustration_dissatisfaction,"ICC(A,k)",-0.3913043478260877,0.7272727272727268,5,10,0.6186904345576478,[-6.4  0.8]
Before,pilot_1st_0709_6+30,user_frustration_dissatisfaction,"ICC(C,k)",-0.3750000000000007,0.7272727272727268,5,10,0.6186904345576478,[-4.82  0.79]
After,pilot_2nd_0716_6+30,user_engagement_enjoyment,"ICC(1,1)",0.7206703910614526,8.740000000000002,5,12,0.001079842629244411,[0.29 0.95]
After,pilot_2nd_0716_6+30,user_engagement_enjoyment,"ICC(A,1)",0.7282608695652176,12.485714285714295,5,10,0.0004900245709481384,[0.29 0.95]
After,pilot_2nd_0716_6+30,user_engagement_enjoyment,"ICC(C,1)",0.7928994082840238,12.485714285714295,5,10,0.0004900245709481384,[0.39 0.96]
After,pilot_2nd_0716_6+30,user_engagement_enjoyment,"ICC(1,k)",0.88558352402746,8.740000000000002,5,12,0.001079842629244411,[0.55 0.98]
After,pilot_2nd_0716_6+30,user_engagement_enjoyment,"ICC(A,k)",0.8893805309734514,12.485714285714295,5,10,0.0004900245709481384,[0.55 0.98]
After,pilot_2nd_0716_6+30,user_engagement_enjoyment,"ICC(C,k)",0.9199084668192221,12.485714285714295,5,10,0.0004900245709481384,[0.66 0.99]
After,pilot_2nd_0716_6+30,user_self_disclosure,"ICC(1,1)",0.9376731301939061,46.13333333333357,5,12,2.0092979947898122e-07,[0.78 0.99]
After,pilot_2nd_0716_6+30,user_self_disclosure,"ICC(A,1)",0.9375000000000002,40.705882352941394,5,10,2.489439304126657e-06,[0.77 0.99]
After,pilot_2nd_0716_6+30,user_self_disclosure,"ICC(C,1)",0.9297520661157027,40.705882352941394,5,10,2.489439304126657e-06,[0.74 0.99]
After,pilot_2nd_0716_6+30,user_self_disclosure,"ICC(1,k)",0.9783236994219654,46.13333333333357,5,12,2.0092979947898122e-07,[0.92 1.  ]
After,pilot_2nd_0716_6+30,user_self_disclosure,"ICC(A,k)",0.9782608695652175,40.705882352941394,5,10,2.489439304126657e-06,[0.91 1.  ]
After,pilot_2nd_0716_6+30,user_self_disclosure,"ICC(C,k)",0.9754335260115607,40.705882352941394,5,10,2.489439304126657e-06,[0.9 1. ]
After,pilot_2nd_0716_6+30,user_topical_alignment,"ICC(1,1)",0.3495934959349593,2.6124999999999994,5,12,0.08028043767064134,[-0.12  0.84]
After,pilot_2nd_0716_6+30,user_topical_alignment,"ICC(A,1)",0.42857142857142844,7.206896551724131,5,10,0.00420757337770172,[0.   0.86]
After,pilot_2nd_0716_6+30,user_topical_alignment,"ICC(C,1)",0.6741573033707864,7.206896551724131,5,10,0.00420757337770172,[0.19 0.94]
After,pilot_2nd_0716_6+30,user_topical_alignment,"ICC(1,k)",0.6172248803827751,2.6124999999999994,5,12,0.08028043767064134,[-0.49  0.94]
After,pilot_2nd_0716_6+30,user_topical_alignment,"ICC(A,k)",0.6923076923076923,7.206896551724131,5,10,0.00420757337770172,[0.01 0.95]
After,pilot_2nd_0716_6+30,user_topical_alignment,"ICC(C,k)",0.8612440191387559,7.206896551724131,5,10,0.00420757337770172,[0.41 0.98]
After,pilot_2nd_0716_6+30,user_elaboration_informativeness,"ICC(1,1)",0.8356807511737088,16.257142857142846,5,12,5.576585221770206e-05,[0.51 0.97]
After,pilot_2nd_0716_6+30,user_elaboration_informativeness,"ICC(A,1)",0.8387096774193548,24.73913043478259,5,10,2.4935843368930557e-05,[0.47 0.97]
After,pilot_2nd_0716_6+30,user_elaboration_informativeness,"ICC(C,1)",0.8878048780487805,24.73913043478259,5,10,2.4935843368930557e-05,[0.62 0.98]
After,pilot_2nd_0716_6+30,user_elaboration_informativeness,"ICC(1,k)",0.938488576449912,16.257142857142846,5,12,5.576585221770206e-05,[0.76 0.99]
After,pilot_2nd_0716_6+30,user_elaboration_informativeness,"ICC(A,k)",0.9397590361445782,24.73913043478259,5,10,2.4935843368930557e-05,[0.73 0.99]
After,pilot_2nd_0716_6+30,user_elaboration_informativeness,"ICC(C,k)",0.9595782073813708,24.73913043478259,5,10,2.4935843368930557e-05,[0.83 0.99]
After,pilot_2nd_0716_6+30,user_initiative_active_contribution,"ICC(1,1)",0.2602739726027397,2.0555555555555554,5,12,0.14224838623503147,[-0.19  0.81]
After,pilot_2nd_0716_6+30,user_initiative_active_contribution,"ICC(A,1)",0.3430656934306569,4.204545454545455,5,10,0.0255711355935853,[-0.03  0.82]
After,pilot_2nd_0716_6+30,user_initiative_active_contribution,"ICC(C,1)",0.5164835164835165,4.204545454545455,5,10,0.0255711355935853,[-0.   0.9]
After,pilot_2nd_0716_6+30,user_initiative_active_contribution,"ICC(1,k)",0.5135135135135135,2.0555555555555554,5,12,0.14224838623503147,[-0.89  0.93]
After,pilot_2nd_0716_6+30,user_initiative_active_contribution,"ICC(A,k)",0.6103896103896104,4.204545454545455,5,10,0.0255711355935853,[-0.08  0.93]
After,pilot_2nd_0716_6+30,user_initiative_active_contribution,"ICC(C,k)",0.7621621621621621,4.204545454545455,5,10,0.0255711355935853,[-0.01  0.96]
After,pilot_2nd_0716_6+30,user_politeness,"ICC(1,1)",0.0675675675675675,1.2173913043478257,5,12,0.3589116745607767,[-0.3  0.7]
After,pilot_2nd_0716_6+30,user_politeness,"ICC(A,1)",0.1153846153846153,1.4736842105263153,5,10,0.2809393529495016,[-0.21  0.7 ]
After,pilot_2nd_0716_6+30,user_politeness,"ICC(C,1)",0.13636363636363624,1.4736842105263153,5,10,0.2809393529495016,[-0.28  0.74]
After,pilot_2nd_0716_6+30,user_politeness,"ICC(1,k)",0.17857142857142838,1.2173913043478257,5,12,0.3589116745607767,[-2.2   0.87]
After,pilot_2nd_0716_6+30,user_politeness,"ICC(A,k)",0.2812499999999998,1.4736842105263153,5,10,0.2809393529495016,[-1.07  0.88]
After,pilot_2nd_0716_6+30,user_politeness,"ICC(C,k)",0.3214285714285712,1.4736842105263153,5,10,0.2809393529495016,[-1.87  0.9 ]
After,pilot_2nd_0716_6+30,user_frustration_dissatisfaction,"ICC(1,1)",0.6791443850267378,7.349999999999993,5,12,0.002287338102139173,[0.23 0.94]
After,pilot_2nd_0716_6+30,user_frustration_dissatisfaction,"ICC(A,1)",0.6791443850267378,7.3499999999999925,5,10,0.003915000064644699,[0.23 0.94]
After,pilot_2nd_0716_6+30,user_frustration_dissatisfaction,"ICC(C,1)",0.6791443850267378,7.3499999999999925,5,10,0.003915000064644699,[0.2  0.94]
After,pilot_2nd_0716_6+30,user_frustration_dissatisfaction,"ICC(1,k)",0.8639455782312924,7.349999999999993,5,12,0.002287338102139173,[0.47 0.98]
After,pilot_2nd_0716_6+30,user_frustration_dissatisfaction,"ICC(A,k)",0.8639455782312924,7.3499999999999925,5,10,0.003915000064644699,[0.47 0.98]
After,pilot_2nd_0716_6+30,user_frustration_dissatisfaction,"ICC(C,k)",0.8639455782312924,7.3499999999999925,5,10,0.003915000064644699,[0.42 0.98]
After,pilot_2nd_0716_6+30,overall_conversational_interaction_quality,"ICC(1,1)",0.7457627118644067,9.799999999999992,5,12,0.0006444263165660984,[0.34 0.95]
After,pilot_2nd_0716_6+30,overall_conversational_interaction_quality,"ICC(A,1)",0.7580645161290323,24.499999999999954,5,10,2.6057971465724794e-05,[0.22 0.96]
After,pilot_2nd_0716_6+30,overall_conversational_interaction_quality,"ICC(C,1)",0.8867924528301886,24.499999999999954,5,10,2.6057971465724794e-05,[0.61 0.98]
After,pilot_2nd_0716_6+30,overall_conversational_interaction_quality,"ICC(1,k)",0.8979591836734694,9.799999999999992,5,12,0.0006444263165660984,[0.6  0.98]
After,pilot_2nd_0716_6+30,overall_conversational_interaction_quality,"ICC(A,k)",0.9038461538461539,24.499999999999954,5,10,2.6057971465724794e-05,[0.46 0.99]
After,pilot_2nd_0716_6+30,overall_conversational_interaction_quality,"ICC(C,k)",0.9591836734693877,24.499999999999954,5,10,2.6057971465724794e-05,[0.83 0.99]
