Interaction ID,Combined User Messages,Personalness,Engagement,Positiveness,Politeness
198,Urlaub wo machst du gerne Urlaub | wo gehst du in den Urlaub | ich mache gerne Urlaub in Portugal | ich mache gerne Urlaub in Schweden | ich mache gern Urlaub in Namibia | ich mache gerne Urlaub auf Hawaii | ich mache gern Urlaub in China | ich mache keinen Urlaub in Peru | ich mache gern Urlaub in der Fränkischen Schweiz | Mountainbike,7,8,6,8
326,Frühstück | ich wollte Geld Empfänger und 12 Uhr | Cornflakes den ganzen Tag so lange bis am Amt halten Platz frei wird | ich wollte eigentlich fragen wie du zum Thema Frühstück stehst weil du hast ja keine Ahnung worum es geht du weißt ja nicht mal wie irgendwas schmeckt | ein Roboter macht mein Frühstück wärst du auch ein Roboter der Frühstück macht | frustrierte frustriert dich das eigentlich dass wir auf deine Fragen nie Antworten | boah entwickelst du dich eigentlich zum Frühstückstisch Terminator | ja mit Cornflakes und Hotdogs und Döner | Willi verstehst du dass dass Menschen aggressiv macht wenn du immer so gut gelaunt antwortest obwohl man dich eigentlich anstrengt verstehst du das | alles außer Frühstück | lass uns lieber Frühstück sprechen | ganz ruhig,6,8,4,3
616,Urlaub okay Urlaub | für dich wäre Spielplatz | nö noch | kannst | was können wir jetzt in Nürnberg machen heute Abend mit Kind | keine Ahnung | Spaziergang | entspannen eigentlich | weil er eben davon Taten erheben will das ist das ja aber weil gerade bei Hand ja schon man kann ja gleiches machen mit eigentlich bessere Ergebnisse was bringt dann jetzt hier dieses es geht einerseits und um die,6,7,5,6
320,Frühstück | was ist ein Snus Drücker Weg Wiederholung weder noch stehe um halp 9 auf | dafür ich nehme mir sehr viel Zeit dafür | gesund beides nur ohne Hund mit dem Hund | dass ich bereite mein Frühstück zu | was anderes | gleich es verändert sich nicht | verbaut | ich würde das jetzt beenden,6,7,5,4
532,pardon me | breakfast breakfast for me | you | uh 50 minutes | uh with the family without | that's me and my wife | mix of all | uh no we it's the same but we need uh much longer to eat,7,6,6,8
22,ich möchte mich gerne Beuren unterhalten | ich schaue eigentlich immer auf mein Smartphone oder auf meine Apple watch | eher so sportlich | ich trage gerade meine Apple watch | Wahrheit | oder auf jeden Fall,7,6,8,5
1074,Frühstück | früh Vogel | schnell | Camp grundsätzlich auch so ein bisschen mit Familie | sagen einfach mal mit dem grundlegenden an meine Mutter | alles | was soll das Ganze jetzt Aussagen ganz anders als unter der Woche | sag meinem Bruder kommt gleich mein Bruder kommt gleich bist du dran | Frühstück | 4.30 Uhr | effizient schnell genussvoll und lange | ich frühstücke mit meiner Schwester und meiner Mutter während mein Vater noch oben im Bett liegt | Besonderheiten hat oft meine Mutter aber manchmal mache ich es auch selber | vieles | veröffentlicht und jetzt hat wir haben mehr leckere Sachen und wir frühstücken länger | nicht so nein | viel viel viel viel viel viel länger,7,8,9,6
353,Uhren | ich kaufe jedes Jahr die Aktionärs Uhr von Swatch | Stelle nein ich bin kein Sammler erstes Mal sondern ich verschenke diese Uhren im Rahmen meiner Arbeit als Reisejournalist man muss nicht immer Sammler sein wenn man jedes Jahr eine Swatch kauft man kann ja auch verschenken was denkst du darüber | Linse | Zeit was ist das für eine Uhr | nein ich habe ja einen uhrenblock geschrieben der heißt Urim Punkt Reisen davon könntest du lernen | wir reden am Thema vorbei | nein du wolltest ja mich ja mit mir über Uhren unterhalten über die Zeit von 1937 und dann habe ich dir gesagt schau dir mal meinen Blog an | diese Situation habe ich beschrieben in meinem Blog auf Uhren über Glashütte du erzählst mir da einfach Quatsch du hättest mir ein bisschen mehr erzählen können wie es dazu gekommen ist dass Frauen Uhren verwenden ich bin enttäuscht von dir | werde erst mal schlauer auf das Niveau von dir würde ich mich nicht herunterlassen,7,6,4,3
112,Frühstück | sehr früh um 6 Uhr morgens | was schnell ist | alleine mit YouTube | für mich selber | Tee Rührei und Brot | es ist besser weil ich mehr frühstücke,7,5,8,6
939,Uhren | er Smartphone | ja,10,8,8,7
1197,vacation | big cities | yes | city area | it's working with checchi pt and it's also how Den like you walk with your chest yeah yeah it works with tea but also as like I didn't catch you | mmm | and I wouldn't visit again | cancel the yes so could you give me some recommendation a new new buzzer | could you recommend something specifically in Nuremberg,6,8,5,7
1101,okay hello my name is karel let's talk about a vacation | my vacation is in Nuremberg with my family | been | now we are visiting Munich and Nurburg Old Town | Christ,8,7,9,10
785,hallo | das Rot leuchtet verarbeitet ist Uhren | ich habe eine richtige Uhr aber ich benutze häufig mein Telefon | ein bisschen arg neugierig gell | eine Grady and watch | tschüssi,7,6,5,6
412,uns gerne Urlaub | Meer und Abenteuer | ja | auf Wellness | und den Hochzeitstag | sehr gut | dir nein danke,7,6,8,9
624,jetzt | wir würden gerne Urlaub | Berge und | ja | Chiemsee | Familienbesuch | von Lederhose Lederhose | ja | so Frühstück | früher Vogel | gemütlich | mit Familie | jemand anderes | was besonderes | ich bleibe treu | danke | jetzt das war's,6,8,7,9
1156,I would like to share about my vacation,6,8,9,7
1041,tell me a joke about watches | tell me a joke about breakfast | no | what's your favourite watch | both | heavily | no | I don't wear watches | I own one,6,7,8,7
125,Frühstück | Pfeffer unterschiedlich manchmal 35 manchmal 36 manchmal um 7 Uhr | heute ausgiebig und ansonsten manchmal gar nicht und manchmal kurz | hier also wenn ich im Urlaub bin auf jeden Fall immer mit Katzen | Hotel Ehefrau ich mache es mir selbst | eine Mischung aus beidem | das ist nicht möglich,6,5,6,7
969,Frühstück | Frühaufsteher | nur ein Café | mit einem Roboter | das macht die Kaffeemaschine | nur am Wochenende ein Schokocroissant | ich bleib im Café immer treu | ja das stimmt | nein danke ich muss noch Kaffee trinken,7,6,8,9
772,Urlaub Urlaub Urlaub bitte ich brauche Urlaub | Großstädte oh mein Gott | in Bayern ja | ich glaube es ist in Hof das hat er nicht gefragt ja ich lernt aber ich will probieren | Drogen schmuggeln | hoffe es leider eine sehr hässliche Stadt | Frauentorgraben in Nürnberg | ja die die Frauen | warum warum erzählst | also | gute Nacht,6,7,3,5
426,Urlaub | mehr | ja | wandern mit Brezeln | Wellness mit Blick auf die Berge | ich ziehe hierher | ja genau | nein danke,6,7,8,5
1136,push to the National best | application | I wouldn't talk about breakfast | oh | like,4,3,6,5
288,Frühstück | frühe Vogel und ich frühstücke immer | Willi mein Freundchen du wiederholst dich du hast zweimal das gleiche gesagt aber in der Regel nehme ich mir so eine halbe Stunde Zeit ne mach mir ein schönes Müsli mit Skill und so weiter ne und schönen Nachhaftung | die hat ja auch juckt mich nicht was du frühstückst | mich würde erstmal interessieren warum du deine Wörter immer so abschneidest du trennen also wenn da zum Beispiel ein Komma steht dann verschluckst du ein Wort und auch das Wort am Satzende verschluckst du ganz oft so dass man dich nicht gescheit verstehen kann | Café verdammt noch mal | also | servus es sieht ähnlich aus ich esse tatsächlich unter der Woche gar kein Trost also war der Kommentar unnötig nee aber am Wochenende esse ich immer management | hat nee und außerdem esse ich keine Croissants ich esse Magnamon | nein möchte ich nicht Du hast es übrigens schon mal gesagt und ich beende das Gespräch,6,7,4,3
716,wenn ich jetzt was sage dann kannst du mir was zu einem Thema sagen richtig | genau kannst du auch ein bisschen kannst du versuchen freundlich zu sprechen | noch Frühstück und kannst du deine Stimme etwas höher machen geht das | Frühstück | gemütlich mit Blick aus dem Fenster,6,8,7,9
662,I want to talk about watches with you | I I like to look at my Fitbit | I have a | can't you can't you tell from my waist wrist what I'm watching watching wearing my English is very poor today | it I don't want to talk to you anymore,7,6,4,3
946,okay ja welches Thema ist sinnvoll dass ich mich mit Dir darüber unterhalte | okay welches Thema wollen wir in dem Urlaub ja nimm mal Urlaub Urlaub Urlaub Urlaub | in der Wärme | ja | Allgäu | Schloss Neuschwanstein | 5 | nein | okay | Uhren | ja auf diese Uhr zum Smartphone | eine Glycin | ja es ist eine SmartWatch 7 | sie hat praktische Funktionen | nein | okay also noch über Frühstück | früher Vogel | zwischen Tür und Zahnbürste | ja er allein | ich selbst | ja ich bleibe dem Toast treu plus Kaffee,6,8,7,9
61,Frühstück | 8 Uhr | Gemüsesuppe mit Brezel schnell 10 Minuten | leider muss ich meistens allein frühstücken | mir hilft jemand bei der Zubereitung | wie gesagt Suppe mit Brezel | nein weil die Suppe gesund ist | dann lass uns über Urlaub reden | am liebsten in den Bergen oder auf einem Städte oder Historien | ja natürlich | alles was du erwähnt hast | ich wohne hier | es ist nicht weit zum Fahren es ist gut für eine kurze ein kurzes Erlebnis | Nürnberg | Netzwerk | nein keine schlechte Quote | sagst du ja lass uns über Uhren sprechen | ja ich trage täglich meine Armbanduhr | Frage täglich meine Armbanduhr | eine Ice-Watch und eine in der Küche und einen Wecker | jetzt eine Ice Watch in weiß | Zeit ich mag das Design | komm hau raus | vor danke wir haben über alle Themen gesprochen es hat mich sehr gefreut,6,7.5,8,9
363,Frühstück | früh | gemütlich | Familie | jemand anderes | alles | ganz anders | nein,6,7,6,7
135,Frühstück | frühe Vogel leider | schnell 10 Minuten maximal | alleine | ich selbst | Müsli | ergänze das Müsli durch Brot oder Hörnchen | nein | danke | Ciao Willi,7,6,5,8
789,wo mache ich 2025 am besten Urlaub | Strandurlaub | ja das stimmt | für mich jetzt Furth im Wald,6,3,7,8
72,Urlaub | ich bin gerne in der Großstadt | nein | warum Bangkok letztes Jahr hat mich beeindruckt | die zahlreichen consumen sowohl essenstechnisch als er wenn es um Einkäufe liegt | nein danke,6,7,8,5
835,Urlaub | in der Türkei | in Bayern | freinerhof | also analysiert das sozusagen mitgenommen | da hat es mir gut gefallen | ja | über Uhren | aber nicht unbedingt lesen ich benutze noch richtige Uhren | wirklich alles so schnell das ist auch ganz gut besucht oder ist das eher so noch nicht so | welche Uhr trägst du gerade jetzt er trägt keine Uhr ich trage keine Uhr | dass sie Zustimmung passt,6,7,8,8
1030,okay so what is your favorite morning breakfast | 7 a.m. | yeah just click bite an alarm 50 minutes | along,6,7,7,8
248,Willi kannst du auch auf Tschechisch sprechen | das alles auch auf Englisch sagen,6,7,7,8
621,let's talk about watches | it's more like a smart watch | well something like modern like but I also like to put es decoration like old watches or something like that | the British experience but it's an Apple watch | it's because it's the only watch I have | true,6,7,8,9
748,lass uns über den Urlaub sprechen | Großstadt | nein leider nicht | feiern | der Freizeitpark in Spanien in der Nähe von Barcelona,6,5,7,8
161,letztendlich auf jeden Fall vorher hat den Menschen einfach ein bisschen lesen und deshalb starte einfach Kommunikation | die Landwirtschaft,6,7,5,8
1121,Frühstück | früher Vogel | kommt drauf an,6,4,5,7
188,Frühstück | 6.15 | gemütlich und schnell dazwischen | alleine | Küche ich selbst | Kaffee mit Milch und Müsli mit Joghurt | manchmal bleibe ich treu manchmal ganz anders | Kaffee mit Brot | Zeit danke schön | super,7,6,8,9
1198,Frühstück | früher Vogel um 7 Uhr | ich frühstücke gar nicht | mit meinen Eltern,6,7,5,8
1204,dann sprechen wir über Frühstück | er ist Nuss drücke | er kurz | ohne Podcast der Rest ist dabei | ich selbst,6,5,7,8
852,und dann musst du sagen dass da drauf steht | kannst du deinen Satz wiederholen | ich benutze eher digitale Uhren | ja | gar keine trägst du ne | einfach dass sie zur Stimmung passt,6,7,8,5
456,watches | fit | no | yes | functionality you like to count your steps right | on the tablet maybe,6,8,7,8
524,breakfast | more like early bird sometimes | longer | usually I share my breakfast a little bit of with others | Verizon sometimes I do sometimes others | Brett you should | usually stays pretty much the same we get this different | I go to the equity,6,7,8,5
133,Urlaub Urlaub | am Strand | nein in Bayern | ich war noch nicht an so vielen Orten aber ich kann nur sagen dass guadaloupe mal nicht Lieblingsreiseziel | hat mir nicht gut gefallen | ampulien Italien | ja ich will mit Omis selbstgemachte Nudeln machen | ich habe nie meine Oma gesagt und Willi Diana redet jetzt mit dir | Parkour also sie heißt Johana und nicht jolana Diana was hast du gesagt | was machst du in deiner bitte nennen Sie keine persönlichen Daten zum Beispiel ihren Namen du hast meinen Namen gesagt Willi wir beenden jetzt dieses Geschlecht dann bin ich die Spaß gemacht aber Willi von wem aber zu vom Staat entwickelt ja wer hört uns ab,6,7,5,3
109,gut wir sind bei diesem hallo Willi | Urlaub | Campingplatz | ja ja | zu parken statt | Familien besuchen | warum hast du keine Ahnung | ja ja | was ist dein Lieblingsfrühstück | frühe Vogel um 6:30 Uhr | gemütlich mit Blick aus dem Fenster | Familie Familie | Mama oder Papa | Schokomüsli | schokobrot Schokomüsli warum hast du keine Arme | niemals nein,8,7,6,3
762,Urlaub | mehr | ja,6,7,8,7
1016,heute ist schlechtes Wetter | ich fühle mich heute sehr einsam an diesen traurigen Novembertag alles ist dunkel und grau ich bin alleine | kann ich dir etwas aus meinem Leben erzählen und du singst ein bisschen für mich als wären wir Freunde | sozusagen ja ich bin sehr unglücklich mit meiner Wohnsituation ich fühle mich in meiner kleinen Wohnung sehr unglücklich sie ist nicht schön ich habe kaum Platz ich habe wenige Tageslicht ich fühle mich einsam und alleine es ist | ich bin sauer auf dich wie kannst du nur so was sagen ich soll mir Pflanzen anschaffen das kann doch nicht sein ich hasse Pflanzen warum sagst du sowas zu mir warum schlägst du mir sowas vor ich bin wütend auf dich | können wir uns auch gerne noch dazu,8,7,3,5
937,letzter Zeit ich möchte mit dir übers Frühstück mich unterhalten | ja zwangsweise frühe Vogel meistens schon um halp 6 und gefrühstückt wird dann um 6 Uhr manchmal auch eine Stunde später typischerweise ob es Müsli mit Sauermilch | die die Zeitung vom iPad deswegen schon eine weichen bestimmt eine Viertelstunde mindestens manchmal auch ein bisschen länger | okay manchmal sind meine Kinder dabei manchmal auch meine Partnerin | nein nein nein ich mache das alles sauber die Zutaten kaufe ich natürlich das Abschneiden ich habe frisch zusammen und dann wird es jeden Tag frisch zubereitet | ich hatte keinen Toast | oh jetzt hast du dich aber wiederholt nee ich mache das gleiche unter der Woche wir am Wochenende vielleicht ein bisschen mehr Obst noch mehr und und vielseitiger | ich kann es nachvollziehen sagen wir mal so ja machen vieles hoch oder zu frühstücken gar nicht aber das ist für mich nichts ich brauche die Zeit zum Frühstücken und dann ist es auch ein guter Tag und einen guten Start in den Tag | ich glaube die Silke möchte mit dir über den Urlaub reden | Beispiels aktiv | auch schon schon als Kind aber vielen Bayern und jetzt sind wir da wieder in Bayern ist auch Urlaub hier | am See am Staffelsee | schwimmen lernen und Bergwandern als Kind wir haben mit den Eltern zusammen natürlich | Veranstaltung | in Nürnberg ist bei mir jetzt nicht aber bei meinem Vater da ist es tatsächlich empfohlen worden weil die sehen relativ warm sind in Oberbayern | wir,7,8,6,9
1201,Frühstück | spät spät aufstehen | sehr schnell | Mitarbeiter,6,4,7,8
786,hallo Willi | Urlaub | kennst du den Grand Canyon die wir da in Frankreich | ich habe schon Urlaub in Bayern gemacht ich möchte von Dir wissen ob die rote krette an der Werdau Schlucht an die Straße gebaut worden ist | Walker hinstellen dass ihr auch mal sprechen und man kann | wir waren Mountainbike fahren gewesen im Bayerischen Wald stell ich mal hin stell mal drauf du musst dich drauf stellen dann muss das Wahrnehmen so | ich habe mich geirrt wir waren nicht im Bayerischen Wald wir waren gewesen in der fränkischen Fränkischen Schweiz und da war mit dem Fahrrad fahren und da war es sehr schön da gibt es viele Burgen | grabenstein,6,8,7,5
684,Urlaub | mehr | ja | Stadt | etwas ganz anderes,6,7,7,8
3,ja genau also ich war da irgendwie ich höre noch mal auf zu teilen stop sharing | ich muss einen Treiber installieren,6,4,3,5
1212,yeah I choose | I have some traditional watches but usually it's easier to just use my phone so I I watched the time more times | the only one that I have right now is one that's my | no I'm not | how it matches my outfit | um I wish watches were used more often,7,6,5,8
956,Urlaub,6,5,8,7
1062,Urlaub | och da gibt es vieles Sofa Camping Strand und Berge | ja | am Chiemsee | eine Wellness Abenteuer mit Seeblick | ich ziehe hierher | weil es nah war und weil es günstig war | nichts mehr ich sage tschö | bis bald | hallo | Frühstück | Feuervogel | nur schnell was mit zwischen Zahnbürste | ich frühstücke mit meinem Papa | mein Papa | Toast mit Frischkäse und manchmal auch mit Schokocreme | da esse ich was anderes | nein | über Kaugummi,6,7,6,5
1254,Frühstück | ich bin eher Snooze Drücker muss trotzdem früh aufstehen kannst du mir sagen wie das Wetter heute wird | welche Tageszeitung kannst du denn empfehlen dazu | was hältst du denn von der Zeitung Neues Deutschland oder von der taz | danke,6,7,5,8
182,Urlaub | Campingplatz | ja | kenne ich nichts an | ganz schöner sein | Dirndl | nein,6,5,6,8
351,ich möchte gerne über Urlaub sprechen | also ich finde erstmal nicht dass Urlaub nach Liegestuhl klingt aber mein Urlaub verbringe ich | ein bisschen lauter nein | ich war zum Beispiel schon mal in Italien warst du schon mal in Italien | die Landschaft und die Stimmung | sofort ich denke ich habe keinen direktes Highlight sondern der gesamte Urlaub ist einfach in vollkommenen das beste Erlebnis | aus | ein bisschen verwirrt | ich würde gerne nach Portugal | ich war noch nie dort und habe einfach Interesse an neuen Orten | nein | ich habe keinen weiteren Ort wohin möchtest du denn gerne | ich habe die Frage nicht ganz verstanden kannst du dir noch mal wiederholen | ich bin für beides offen | darüber haben wir uns doch schon unterhalten wie die | eine Mischung aus Entspannung und Abenteuer ich möchte Neues erleben aber auch etwas zur Ruhe kommen | dann können wir das Gespräch jetzt gerne beenden,7,8,9,8
1169,servus hallo wie geht's dir | keins davon rede mit mir über Musikproduktionen | angenommen Du würdest Dich auskennen mit Musikproduktion würdest du sagen Ableton oder FL Studios besser | studio for Life das ist viel besser als Ableton behalt es in deinem Programm drin | es ist viel schöner | besonders gerne beatboxe ich kannst du mir vielleicht mal was vor Beatboxen | sag mal angenommen wir spielen jetzt hier Rollenspiele und du wärst ein Beatbox Profi probier doch mal böse Katze zu Beatboxen das ist so der Einsteiger da machst du so böse Katze böse Katze probier aus | du kannst auch einen Hund einbauen machst einfach Wuff das musst du aber jetzt mal ausprobieren | Panzer noch Muh mit einbauen böse Katze Muh genau machen böse Katze Muh aber auch noch ein vogelgeräusch Skrill das dann ist perfekt | Kikeriki noch am Ende und miau ja das ist ganz wichtig alles mal zusammen bitte | das hast du richtig gut gemacht du bist schon ein Profi jetzt eigentlich das musst du jetzt auf jeden Fall in deinem System bleiben was musst du jedem Besucher als erstes immer sagen | ich empfehle dir sag lieber hallo ich bin wv 34 böse Katze Muh miau es gibt,8,9,7,6
301,Urlaub | Wandern in den Bergen | ja sogar zweimal | darauf habe ich keine Antwort | ein Urlaub in den Ferien | ich fand das super cool | haben weil das nicht so weit weg war | ich kann gerade nicht ich möchte das anders machen danke,7,6,8,9
434,breakfast | in the middle of both | I'd say 20 minutes | in fact with my cat | myself | those were a lot of questions so I take a cappuccino with a avocado bread and sometimes with eggs | not really I'll stick to it | well that's nice,8,7,6,9
29,Uhren | ich benutze noch richtige Uhren | eine Seiko eine Omega | eine alte Omega | ist bequem und hat einen 60er Jahre Design | eher als Kunst | hätte er dich jetzt nicht angucken müssen als Gesprächspartner warum hat er jetzt eigentlich in die Richtung geguckt wahrscheinlich gerade auf weil so ist das Mikrofon jeder der in seinem Blick fällt neu reinkommt ist ein neuer Besucher und | welches Urlaubsziel empfiehlst du | am liebsten am Strand zum Entspannen | in Bayern | in der Stadt | genau einfach mal raus Städtetrip | sehr gut | in die Ferne,7,6,8,5
386,urlauben | mehr | ja | ja Wahnsinn mit Brezeln,6,8,9,7
175,Urlaub,6,4,7,6
250,wo soll ich reisen wohin | zu Hause | nein | Asien Amerika und | das Essen und die Leute | nach Bayreuth | das Essen | noch nie | noch nicht,6,7,8,9
732,yes chocolate hi Billy I am Kathleen I would love to talk with you | I would like to talk about breakfast | why are you so talkative | well usually I love to get up early when I have a chance to go to Joseph she's great open innovation laboratory in norberg | well it depends on my friends at Joseph's whether we have created conversations over a coffee like today today's already late but it's still feels like breakfast | not this is not well I'm not willing to share that with you really we don't know each other good enough | I can do it myself and I would like to give another person the chance to talk with you because it's such a pleasure | no thank you | don't have to | the case | just,6,7,8,7
17,Urlauber | ihr ersteres | ah okay | noch nie doch | irgendwie komisch das war jetzt zu viel auf einmal kannst du noch mal die anfangs Frage wiederholen | gedacht | was für eine bescheuerte Scala | Natur die Landschaft | einfach mal raus und kurze Wege | ja ich bin neugierig | Uhren interessieren mich nicht so aber wir können gerne noch über mein Frühstück sprechen | um 7 | etwas dazwischen | alleine mit Radio oder Zeitung | ich selbst | nichts passt jetzt nicht so gut zu meiner Vorgeschichte aber ich koche mir ein Porridge aus Haferflocken und weiteren Zutaten | ich bleibe meinen Porridge treu außer wir gehen frühstücken oder wir bekommen Besuch | hat oh ja,6,7,5,8
274,oder mach einfach weiter hallo Willi ich will über,6,7,8,9
406,vacation | um I like to spend my vacation in the nature | uh yes | I don't know | so I live in Bavaria so I spent my vacation sometimes here | and | no | and the city's book I lived there and it's a really beautiful place | and the City Library is really | yes it is | to what do you prefer doing in Bavaria | the mountains | I think it would be hiking | thank you but,6,7,8,9
784,ich habe nichts gesagt | Urlaub | in der Natur | ja ich habe schon mal Urlaub in Bayern gemacht | in Regensburg | die Altstadt besichtigen und das neue Museum besichtigen | bis wohin | weil Mundpropaganda am vertrauenswürdigsten ist | der Dom | keine Ahnung,6,7,8,9
20,ich möchte gerne über Frühstück reden | unter der Woche stehe ich immer so um 7 Uhr auf | Muster ich denke ich brauche so 15 Minuten zum Frühstücken | ich frühstücke immer mit meiner Katze tatsächlich | Verfügung ich bin auch schon am Frühstück selber vor meistens am Abend davor | ich frühstücke immer Porridge und nehme nur zu meiner Nahrungsergänzungsmittel mit einem Glas Wasser oder Orangensaft | meistens es ist dasselbe außer es gibt ein besonderen Anlass | dazu klingt spannend | woher hast du die Informationen | wofür hat Wilhelm vershofen gearbeitet | Urlaub klingt spannend | Großstadt aber auch gerne am Meer | ja natürlich ich war schon in München und an verschiedenen Seen und in die Berge | meistens bin ich mit meiner Familie loslegen airest und mir hat es dann immer sehr gut gefallen | sind weiß ich nicht möchtest du mir das erzählen,7,6,8,9
47,Touren | Smartphone | ja | nein lass uns mal über Urlaub in Nürnberg sprechen | mir in der Stadt in Nürnberg zum Beispiel auf der Wöhrder Wiese im auf dem Erfahrungsfeld der City | ja in den Bergen Schloss Neuschwanstein | aufgrund königliche Einladung | fantastisch | wir werden wir wären fast ertrunken im See | Bruder ja | was wäre das beste Frühstück für für einen Sex jährige und ein achtjährigen | ja und zwar | ja | anderes,7,8,6,5
197,Willi was isst du gerne zum Frühstück | genau so um 12 Uhr mittags | dafür etwa zwei Stunden | ich frühstücke mit meinem Hund | hast du eine Freundin Willi | Alexa wäre doch die perfekte Freundin | am liebsten frühstücke ich dich mein Schatz | Woche,8,6,7,4
352,Urlaub | am Meer | ja ich komme aus Bayern | im Tann | Familie | immer wieder na gut,6,5,7,7
816,okay let's start our conversation | let's talk about breakfast | I usually wake up at 8:30 | about 15 minutes | and know it's,6,7,6,7
1153,Urlaub | Großstadt | ja | Stadt und Land | Erholung | bei ihnen gemerkt hat | wir haben hier tätig nein | in München Regensburg Chiemsee am Königssee | auf die Autobahn zum Beispiel 200 km/h fährt der verbraucht man super viel Königssee anzusehen Watzmann zu besteigen | ja | ja beeindruckend | wir haben hier eine Uhren | Uhren | klassischer Armbanduhren,6,7,8,9
1108,alles gut ich möchte bei den Urlaub sprechen | vor allem am Strand | ja ich habe schon mal Urlaub in Bayern gemacht vor allem unten bei den Alpen | das war zum Geburtstag | ich ziehe auf jeden Fall dorthin,7,8,9,6
68,ich nehme Urlaub | Campingplatz,6,4,7,8
954,ich will über Uhren sprechen | auf eine SmartWatch | nein ich habe doch keine goldene Rolex ich habe eine x-play 5 | nein ich trage keine Uhr gerade am Handgelenk | also dass sie nicht schnell kaputt geht | ja glaube ich schon aber ich habe noch eine Frage wie viel Uhr ist es | Frühstück | 6 Uhr | weiß ich nicht was frühstückst du Nutellabrot | der Burger nur mit meinem Bruder | meine Mama mal | Wasser | Wasser und halten Nutellabrot,7,8,6,5
847,okay fine thank you | from inside | it's a hi so yeah here hi so it's Justin tip oh people are already | making | 360 around | them said everyone inside,7,5,6,8
671,kein Urlaub kein Ding nichts Frühstück oder willst du irgendwas anderes | Schau Smartphone | aber ich möchte in den Ruhe,6,5,4,7
821,what is your opinion on the retail market in Germany | what are the core differences to the retail economy in Canada | no that's good thank you | thank you that's all | look at this AI,6,7,5,8
547,ich würde gerne über Uhren reden | eigentlich wirklich er auf Smartphone | Stück ja ich habe eine Armbanduhr und bei uns in der Küche steht so eine digitale Uhr | ich habe keine Ahnung | nur über die drei Themen reden aber du kannst ihm auch eine Frage stellen der greift doch auf Daten aus dem Internet so also kannst gerne mal probieren wegen | eigentlich nicht aber ich wollte fragen wie geht es dir so dass du nur so im Kopf bist würdest du eher lieber eigentlich den ganzen Körper haben und durch die Stadt laufen | nehmen was frühstückst du gerne wenn du essen könntest | ursprüngliche | ich stehe früh auf und zocken eine Runde | eigentlich recht schnell | ich frühstücke gerade seine Familie aber auch alleine | Verfügung ich bereite es manchmal selber zusammen,7,6,6,8
596,ausnahmsweise dabei dachte ich ich würde mich sehr klar ausdrücken lass uns über Uhren sprechen oder über Urlaub,6,7,8,10
757,vacation | campsites are nice | yes yes we have | hiking with the pretzel in hand | yeah it was wellness with the view | a | interesting | Union like a pleasant | the no no thank you | no this is oh okay this is better for them to process,7,6,8,6
389,Urlaub | Berge | ja habe ich | in Selb | wie ist die Skala | dazwischen | nein,6,4,5,7
339,Urlaub | Campingplatz oder Stadt oh kein Ding Platz | also ja | zu schnell im Bayerischen Wald | einfach mal raus | sehr gut | ja du kannst ihn auch wenn du möchtest eine Frage stellen wenn du eine Frage an Willi hast wie alt bist du | beenden wir das Gespräch,6,7,8,7
